character_code,n,match_rate,EI_rate,SN_rate,TF_rate,JP_rate
KALS,560,0.1357142857142857,0.6821428571428572,0.5803571428571429,0.6642857142857143,0.5482142857142858
KURM,397,0.14609571788413098,0.6574307304785895,0.5365239294710328,0.6523929471032746,0.5843828715365239
TNAO,289,0.1245674740484429,0.6643598615916955,0.45674740484429066,0.5813148788927336,0.5986159169550173
KRSU,211,0.17535545023696683,0.6872037914691943,0.5781990521327014,0.6966824644549763,0.6777251184834123
RIKI,196,0.1377551020408163,0.576530612244898,0.41836734693877553,0.7244897959183674,0.5918367346938775
NEUR,172,0.11627906976744186,0.5406976744186046,0.5581395348837209,0.6162790697674418,0.5988372093023255
KMOM,123,0.2682926829268293,0.7317073170731707,0.6016260162601627,0.7398373983739838,0.6829268292682927
KNAN,110,0.14545454545454545,0.6272727272727273,0.6272727272727273,0.5454545454545454,0.5
KGYA,99,0.16161616161616163,0.696969696969697,0.6262626262626263,0.7171717171717171,0.5757575757575758
CIRN,93,0.0967741935483871,0.6344086021505376,0.4946236559139785,0.6236559139784946,0.5268817204301075
MAIS,87,0.16091954022988506,0.7011494252873564,0.5862068965517241,0.6091954022988506,0.5402298850574713
KNTA,83,0.14457831325301204,0.6626506024096386,0.7108433734939759,0.5180722891566265,0.5662650602409639
KAOR,71,0.14084507042253522,0.7323943661971831,0.4788732394366197,0.7605633802816901,0.6056338028169014
SAKI,71,0.14084507042253522,0.4507042253521127,0.5774647887323944,0.5211267605633803,0.6197183098591549
MARN,63,0.031746031746031744,0.5396825396825397,0.4603174603174603,0.7936507936507936,0.5714285714285714
PHRV,62,0.1774193548387097,0.7580645161290323,0.8225806451612904,0.6451612903225806,0.3870967741935484
ARTO,58,0.1724137931034483,0.7413793103448276,0.4827586206896552,0.603448275862069,0.603448275862069
NENE,52,0.07692307692307693,0.8461538461538461,0.3269230769230769,0.8076923076923077,0.5576923076923077
TMRS,50,0.06,0.56,0.32,0.56,0.52
